,LOT,Date,Equipment,Die_Number,Injection_Velocity_1,Injection_Velocity_2,Injection_Velocity_3,Spray_Time_1,Spray_Time_2,Humidity,Temperature,Casting_Pressure,Pressure_Increase_Time,Short_Shot,Ejection_Pin_Burr,Soldering,Shrinkage,Stain,Corepin_Soldering,Crack
126,180102-021-0103,2018-01-02,021,0103,0.086,0.23,0.376,0.2,0.3,20.99,17.401,678,0.044,5,0,0,0,0,0,0
127,180102-021-0103,2018-01-02,021,0103,0.091,0.23,0.371,0.2,0.3,21.157,17.401,679,0.043,5,0,0,0,0,0,0
128,180102-021-0103,2018-01-02,021,0103,0.094,0.232,0.381,0.2,0.3,20.766,17.402,679,0.041,5,0,0,0,0,0,0
129,180102-021-0103,2018-01-02,021,0103,0.093,0.226,0.365,0.2,0.3,20.759,17.403,678,0.044,5,0,0,0,0,0,0
130,180102-021-0103,2018-01-02,021,0103,0.096,0.23,0.379,0.2,0.3,20.781,17.401,678,0.043,5,0,0,0,0,0,0
131,180102-021-0103,2018-01-02,021,0103,0.091,0.23,0.379,0.2,0.3,20.878,17.401,679,0.041,5,0,0,0,0,0,0
132,180102-021-0103,2018-01-02,021,0103,0.093,0.228,0.376,0.2,0.3,20.923,17.237,679,0.041,5,0,0,0,0,0,0
133,180102-021-0103,2018-01-02,021,0103,0.09,0.232,0.379,0.2,0.3,21.094,17.401,679,0.041,5,0,0,0,0,0,0
134,180102-021-0103,2018-01-02,021,0103,0.094,0.232,0.371,0.2,0.3,20.709,17.407,679,0.045,5,0,0,0,0,0,0
135,180102-021-0103,2018-01-02,021,0103,0.094,0.232,0.376,0.2,0.3,20.833,17.357,679,0.045,5,0,0,0,0,0,0
136,180102-021-0103,2018-01-02,021,0103,0.09,0.228,0.379,0.2,0.3,21.099,17.401,678,0.045,5,0,0,0,0,0,0
137,180102-021-0103,2018-01-02,021,0103,0.091,0.23,0.379,0.2,0.3,21.098,17.401,679,0.043,5,0,0,0,0,0,0
138,180102-021-0103,2018-01-02,021,0103,0.098,0.232,0.379,0.2,0.3,21.057,17.401,679,0.041,5,0,0,0,0,0,0
139,180102-021-0103,2018-01-02,021,0103,0.091,0.226,0.379,0.2,0.3,20.733,17.398,679,0.042,5,0,0,0,0,0,0
140,180102-021-0103,2018-01-02,021,0103,0.09,0.228,0.371,0.2,0.3,21.098,17.401,679,0.043,5,0,0,0,0,0,0
141,180102-021-0103,2018-01-02,021,0103,0.091,0.23,0.376,0.2,0.3,21.099,17.401,679,0.041,5,0,0,0,0,0,0
142,180102-021-0103,2018-01-02,021,0103,0.094,0.23,0.376,0.2,0.3,20.781,17.401,678,0.041,5,0,0,0,0,0,0
143,180102-021-0103,2018-01-02,021,0103,0.088,0.228,0.368,0.2,0.3,21.15,17.401,679,0.043,5,0,0,0,0,0,0
144,180102-021-0103,2018-01-02,021,0103,0.093,0.23,0.371,0.2,0.3,20.887,17.299,679,0.043,5,0,0,0,0,0,0
145,180102-021-0103,2018-01-02,021,0103,0.094,0.228,0.373,0.2,0.3,20.91,17.207,679,0.041,5,0,0,0,0,0,0
146,180102-021-0103,2018-01-02,021,0103,0.093,0.23,0.379,0.2,0.3,20.91,17.207,680,0.041,5,0,0,0,0,0,0
147,180102-021-0103,2018-01-02,021,0103,0.092,0.232,0.371,0.2,0.3,20.887,17.299,679,0.045,5,0,0,0,0,0,0
148,180102-021-0103,2018-01-02,021,0103,0.088,0.222,0.371,0.2,0.3,21.099,17.401,680,0.041,5,0,0,0,0,0,0
149,180102-021-0103,2018-01-02,021,0103,0.092,0.232,0.371,0.2,0.3,21.057,17.401,679,0.041,5,0,0,0,0,0,0
150,180102-021-0104,2018-01-02,021,0104,0.092,0.229,0.373,0.2,0.3,20.993,19.15,680,0.041,8,0,0,0,0,0,0
151,180102-021-0104,2018-01-02,021,0104,0.092,0.226,0.371,0.2,0.3,25.333,16.27,680,0.041,8,0,0,0,0,0,0
152,180102-021-0104,2018-01-02,021,0104,0.092,0.229,0.373,0.2,0.3,25.744,16.029,680,0.041,8,0,0,0,0,0,0
153,180102-021-0104,2018-01-02,021,0104,0.094,0.228,0.373,0.2,0.3,21.046,19.372,679,0.044,8,0,0,0,0,0,0
154,180102-021-0104,2018-01-02,021,0104,0.092,0.224,0.37,0.2,0.3,24.807,16.429,680,0.041,8,0,0,0,0,0,0
155,180102-021-0104,2018-01-02,021,0104,0.094,0.228,0.373,0.2,0.3,25.857,15.968,679,0.044,8,0,0,0,0,0,0
156,180102-021-0104,2018-01-02,021,0104,0.094,0.228,0.373,0.2,0.3,21.193,19.388,680,0.043,8,0,0,0,0,0,0
157,180102-021-0104,2018-01-02,021,0104,0.094,0.23,0.373,0.2,0.3,26.058,15.904,679,0.043,8,0,0,0,0,0,0
158,180102-021-0104,2018-01-02,021,0104,0.09,0.232,0.376,0.2,0.3,21.121,19.397,679,0.044,8,0,0,0,0,0,0
159,180102-021-0104,2018-01-02,021,0104,0.092,0.227,0.373,0.2,0.3,25.455,16.21,679,0.045,8,0,0,0,0,0,0
160,180102-021-0104,2018-01-02,021,0104,0.088,0.22,0.371,0.2,0.3,20.979,19.261,678,0.045,8,0,0,0,0,0,0
161,180102-021-0104,2018-01-02,021,0104,0.093,0.227,0.373,0.2,0.3,25.333,16.27,680,0.043,8,0,0,0,0,0,0
162,180102-021-0104,2018-01-02,021,0104,0.094,0.227,0.373,0.2,0.3,25.908,15.917,679,0.043,8,0,0,0,0,0,0
163,180102-021-0104,2018-01-02,021,0104,0.092,0.23,0.373,0.2,0.3,26.996,15.438,679,0.042,8,0,0,0,0,0,0
164,180102-021-0104,2018-01-02,021,0104,0.09,0.228,0.371,0.2,0.3,21.09,19.052,680,0.043,8,0,0,0,0,0,0
165,180102-021-0104,2018-01-02,021,0104,0.096,0.227,0.371,0.2,0.3,25.744,16.029,680,0.041,8,0,0,0,0,0,0
166,180102-021-0104,2018-01-02,021,0104,0.091,0.224,0.373,0.2,0.3,21.011,19.246,680,0.041,8,0,0,0,0,0,0
167,180102-021-0104,2018-01-02,021,0104,0.091,0.229,0.373,0.2,0.3,26.707,15.606,679,0.041,8,0,0,0,0,0,0
